,job_id,date_posted,company_name,job_title,job_type,description_summary,experience,minimum_qualification,qualification,location,country,source_link,apply_link
0,R242907,2024-05-31,Dell International Services India Pvt Ltd (7451),Software Senior Principal Engineer,FULL_TIME,Senior Principal Software Engineer The Software Engineering team delivers next-generation software application enhancements and new products for a changing world.,14+ years of UEFI development experience or 14+ years C programming expertise for Embedded systems / micro controllers,Bachelor’s or master’s degree in computer science or related field,Strong problem-solving and analytical skills Agility to adapt to technologies and processes quickly Strong programming and debugging experience in C,"Bangalore, India",India,https://dell.wd1.myworkdayjobs.com/en-US/External/job/Bangalore-India/Software-Senior-Principal-Engineer_R242907,https://dell.wd1.myworkdayjobs.com/en-US/External/job/Bangalore-India/Software-Senior-Principal-Engineer_R242907
1,R244442,2024-06-01,Dell International Services India Pvt Ltd (7451),"Consultant-Cyber Recovery, Data Domain",FULL_TIME,"Consultant Today, every organization needs to be digital, powered by data, running in a multi-cloud world, ready to take on anything.","6-9 years of experience in IT Infrastructure, backup technologies and cyber recovery",Bachelor's degree in Computer Science or related field,"Advanced knowledge, understanding and application of project management principles and methodologies.","Bangalore, India",India,https://dell.wd1.myworkdayjobs.com/en-US/External/job/Bangalore-India/Consultant-Cyber-Recovery--Data-Domain_R244442,https://dell.wd1.myworkdayjobs.com/en-US/External/job/Bangalore-India/Consultant-Cyber-Recovery--Data-Domain_R244442
2,R245998,2024-05-31,DELL USA L.P. (1001),Major Incident Manager,FULL_TIME,IT Service Operations Advisor,5 to 8 years of related experience with technical aptitude,Bachelor’s degree,ITIL experience with a strong IT/Technical Background,"Round Rock, Texas, United States",United States of America,https://dell.wd1.myworkdayjobs.com/en-US/External/job/Major-Incident-Manager_R245998,https://dell.wd1.myworkdayjobs.com/en-US/External/job/Round-Rock-Texas-United-States/Major-Incident-Manager_R245998
3,R246275,2024-05-31,DELL USA L.P. (1001),Principal Software Engineer (Splunk),FULL_TIME,"Design and develop software for platforms, peripherals, applications and diagnostics",Relevant experience with Linux administration combined with knowledge of Linux infrastructure,Bachelor's degrees,Splunk administration experience and exposure to data stream processing capabilities within Splunk,"Round Rock, Texas, United States",United States of America,https://dell.wd1.myworkdayjobs.com/en-US/External/job/Round-Rock-Texas-United-States/Principal-Software-Engineer--Splunk-_R246275,https://dell.wd1.myworkdayjobs.com/en-US/External/job/Round-Rock-Texas-United-States/Principal-Software-Engineer--Splunk-_R246275
4,R246068,2024-05-31,Dell International Services India Pvt Ltd (7451),.Net Senior Principal Software Engineer,FULL_TIME,Senior Principal Software Engineer Be a part of a team that’s ensuring Dell Technologies' product integrity and customer satisfaction.,12-15 years,Bachelor's degree in Computer Science or related field,"Hands on experience in implementing robust security measures, including encryption, authentication, and vulnerability management, to safeguard sensitive information and systems against threats.","Bangalore, India",India,https://dell.wd1.myworkdayjobs.com/en-US/External/job/XMLNAME-Net-Senior-Principal-Software-Engineer_R246068,https://dell.wd1.myworkdayjobs.com/en-US/External/job/Bangalore-India/XMLNAME-Net-Senior-Principal-Software-Engineer_R246068
5,R246246,2024-05-31,Dell Canada (1575),Senior Principal Moogsoft Architect,FULL_TIME,"Senior Principal Moogsoft Architect Ensures that Dell’s Cloud Service delivers the service performance, reliability, and availability expected by our customers and internal client groups.","10+ years’ experience designing and implementing solutions leveraging Multiple Monitoring Tools, Moogsoft and ServiceNow",Bachelor’s degree,Proficient understanding of ITIL practices Vast knowledge on software configuration management systems,"Toronto, Ontario, Canada",Canada,https://dell.wd1.myworkdayjobs.com/en-US/External/job/Senior-Principal-Moogsoft-Architect_R246246-1,https://dell.wd1.myworkdayjobs.com/en-US/External/job/Toronto-Ontario-Canada/Senior-Principal-Moogsoft-Architect_R246246-1
6,R246473,2024-05-31,SecureWorks US (1315),Direct Sales Director - Secureworks - US East Coast Remote,FULL_TIME,Establish sales through management of specific industry or product segment sales teams.,10+ years of experience in sales / go-to-market (GTM) roles.,Experience in Cybersecurity.,High level of solutions and technical knowledge.,"Remote - Georgia, United States",United States of America,https://dell.wd1.myworkdayjobs.com/en-US/External/job/Direct-Sales-Director_R246473,https://dell.wd1.myworkdayjobs.com/en-US/External/job/Remote---Georgia-United-States/Direct-Sales-Director_R246473
7,R244092,2024-05-31,Dell International Services India Pvt Ltd (7451),Personalization Platform Senior Data Scientist,FULL_TIME,Data Science Consultant Data Science is all about breaking new ground to enable businesses to answer their most urgent questions.,12 to 15 years of related work experience with advanced statistical skills and appropriate Mathematical knowledge,"Bachelor’s degree / Master’s degree a relevant field (e.g., Computer Science, Statistics, Mathematics, or Data Science).","Strong programming skills (Python, R, or similar). Advanced understanding of business environment and industry trends Ability to work collaboratively with multiple stakeholders","Bangalore, India",India,https://dell.wd1.myworkdayjobs.com/en-US/External/job/Bangalore-India/Personalization-Platform-Senior-Data-Scientist_R244092-1,https://dell.wd1.myworkdayjobs.com/en-US/External/job/Bangalore-India/Personalization-Platform-Senior-Data-Scientist_R244092-1
8,R244600,2024-05-31,Dell International Services India Pvt Ltd (7451),AI &amp; ML Engineer,FULL_TIME,Data Science Advisor Data Science is all about breaking new ground to enable businesses to answer their most urgent questions.,4 to 7 years of related experience,Bachelor’s degree,"Strong statistical skills, Solid Macro, C, C++, Visual Basic Programming, Good understanding of business environment and industry trends, Good communication and problem-solving skills","Bangalore, India",India,https://dell.wd1.myworkdayjobs.com/en-US/External/job/AI---ML-Engineer---Applied-AI---ML-Team_R244600,https://dell.wd1.myworkdayjobs.com/en-US/External/job/Bangalore-India/AI---ML-Engineer---Applied-AI---ML-Team_R244600
9,R243021,2024-05-31,Dell International Services India Pvt Ltd (7451),Senior Software Engineer - IT,FULL_TIME,IT Senior Software Engineer Be a part of a team that’s ensuring Dell Technologies' product integrity and customer satisfaction.,7-9 years of development experience in technologies with hands-on experience,Bachelor's degree in Computer Science or related field,Strong understanding around API Integrations and PCF Microservices,"Hyderabad, India",India,https://dell.wd1.myworkdayjobs.com/en-US/External/job/Hyderabad-India/Senior-Software-Engineer---IT_R243021-1,https://dell.wd1.myworkdayjobs.com/en-US/External/job/Hyderabad-India/Senior-Software-Engineer---IT_R243021-1
